"Source:","C:\Users\jimbr\Documents\KiCad\7.0\projects\Apple-II-R0\AppleII.kicad_sch"
"Date:","02/02/2024 09:19:51"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","196"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Alt","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","DigiKey","Family","MPN","Manufacturer","Sim.Device","Sim.Pins","Status"
"30","3","D1, E1, F1","Memory Type Sel","AppleII+:AppII_MemorySelectBlock","Package_DIP:DIP-14_W7.62mm","","","","","","","","","","","","","","",""
"31","1","D2","74LS20","74xx:74LS20","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS20","","","","","","","","","","","","","",""
"32","4","D11, D12, D13, D14","74LS161","AppleII+:74LS161","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS161","","","","","","","","","","","","","",""
"33","2","E2, F2","74LS139","74xx:74LS139","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","","","","","","","","","","","","","",""
"34","1","E14","74LS283","74xx:74LS283","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS283","","","","","","","","","","","","","",""
"35","4","F12, F13, H2, H12","74LS138","74xx:74LS138","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS138","","","","","","","","","","","","","",""
"36","1","F14","74LS259","74xx:74LS259","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS259","","","","","","","","","","","","","",""
"37","2","H3, H4","8T97","AppleII+:8T97","Package_DIP:DIP-16_W7.62mm","","","","","","","","","","","","","","",""
"38","1","H5","8T97","AppleII-rescue:8T97-AppleII","Package_DIP:DIP-16_W7.62mm","","","","","","","","","","","","","","",""
"39","1","H7","6502","AppleII-rescue:MOS6502-AppleII","Package_DIP:DIP-40_W15.24mm","","","","","","","","","","","","","","",""
"40","2","H10, H11","8T28","AppleII-rescue:8T28-AppleII","Package_DIP:DIP-16_W7.62mm","","","","","","","","","","","","","","",""
"41","1","H13","NE558","AppleII+:NE558","Package_DIP:DIP-16_W7.62mm","","","","","","","","","","","","","","",""
"42","1","H14","74LS251","74xx:74LS251","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS251","","","","","","","","","","","","","",""
"43","1","J0","Cassette Data In","Connector_Audio:AudioJack2_Ground","Apple-II:AUDIO_mono","https://www.cuidevices.com/product/resource/mj-3502n.pdf","","","","","","","","CP-3502N-ND","","","","","",""
"44","1","J2","Cassette Data Out","Connector_Audio:AudioJack2_Ground","Apple-II:AUDIO_mono","https://www.cuidevices.com/product/resource/mj-3502n.pdf","","","","","","","","CP-3502N-ND","","","","","",""
"45","1","J3","Conn_01x16","Connector_Generic:Conn_01x16","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~","","","","","","","","","","","","","",""
"46","1","J14","GAME_IO_Conn","AppleII+:GAME_IO_Conn","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","","","","","","","","","","","","","","",""
"47","1","J18","Aux Video","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","",""
"48","1","JP-User1","Jumper","Jumper:Jumper_2_Open","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","DNP","","","","","","","","","","","","",""
"49","1","K13","MA741","Amplifier_Operational:LM741","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm741.pdf","","","","","","","","","","","","","",""
"50","1","K14","RCA Connector","Apple-II:Video","Apple-II:VIDEO","https://www.switchcraft.com/assets/1/24/pjran1x1u__x_series_cd.pdf?4664","","","","","","","","PJRAN1X1U03X-ND","","","","","",""
"51","1","L1","27uH","Device:L","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P12.70mm_Horizontal_Fastron_MICC","~","","","","","","","","","","","","","",""
"52","7","MH1, MH2, MH3, MH4, MH5, MH6, MH7","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.5mm","~","","","","","","","","","","","","","",""
"53","2","Q1, Q2","2N4258","Device:Q_PNP_EBC","Package_TO_SOT_THT:TO-18-3","~","","2N4208","","","","","","2N4208-ND","","","","","",""
"54","1","Q3","2N3904","AppleII-rescue:2N3904-dk_Transistors-Bipolar-BJT-Single","Package_TO_SOT_THT:TO-92","https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=LSSGP072.PDF","","","Discrete Semiconductor Products","https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=LSSGP072.PDF","/product-detail/en/central-semiconductor-corp/2N3904/2N3904CS-ND/4806876","TRANS NPN 40V TO-92","2N3904CS-ND","","Transistors - Bipolar (BJT) - Single","2N3904","Central Semiconductor Corp","","","Active"
"55","1","Q4","MPSA13","Device:Q_NPN_Darlington_EBC","Package_TO_SOT_THT:TO-92","~","","KSP13","","","","","","KSP13BU-ND","","","","","",""
"56","1","R1","330R","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"57","2","R2, R4","47R","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"58","1","R3","150R","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"59","1","R5","1K","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"60","1","R6","2K7","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"61","1","R7","1K5","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"62","1","R8","2K","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"63","1","R9","10R","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"64","1","R10","27R","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"65","1","R11","200R","AppleII-rescue:R_POT_TRIM_US-Device","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","","","","","","","","","","","","","","",""
"66","1","R12","12K","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"67","1","R13","3M3","Device:R","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"68","1","R15","220k","Device:R_Small","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"69","4","R16, R17, R19, R29","12K","Device:R_Small","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"70","5","R18, R20, R21, R22, R23","100R","Device:R_Small","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"71","1","R24","47K","Device:R_Small","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"72","1","R25","27R","Device:R_Small","Apple-II:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","",""
"73","1","RA01","1k","Device:R_Network07_US","Resistor_THT:R_Array_SIP8","http://www.vishay.com/docs/31509/csc.pdf","","","","","","","","","","","","","",""
"74","2","RA02, RA03","1K","Device:R_Network07_US","Resistor_THT:R_Array_SIP8","http://www.vishay.com/docs/31509/csc.pdf","","","","","","","","","","","","","",""
"75","6","ROM-D0, ROM-D8, ROM-E0, ROM-E8, ROM-F0, ROM-F8","ROM_Chip","AppleII+:ROM_Chip","Package_DIP:DIP-24_W15.24mm","","","","","","","","","","","","","","",""
"76","8","SLOT0, SLOT1, SLOT2, SLOT3, SLOT4, SLOT5, SLOT6, SLOT7","50 pin slot","Connector_Generic:Conn_02x25_Counter_Clockwise","Apple-II:Standard_Edge_Connector","~","","","","","","","","A31718-ND","","","","","",""
"77","1","SPKR1","Speaker Connector","AppleII-rescue:22-23-2021-dk_Rectangular-Connectors-Headers-Male-Pins","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf","","","Connectors, Interconnects","https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf","/product-detail/en/molex/22-23-2021/WM4200-ND/26667","CONN HEADER VERT 2POS 2.54MM","WM4200-ND","","Rectangular Connectors - Headers, Male Pins","22-23-2021","Molex","","","Active"
"78","1","Y1","XT0001","Device:Crystal","Crystal:Crystal_HC18-U_Vertical","~","","","","","","","","","","","","","",""
